epoch,train_loss,val_loss,lr
1,0.6040432011579723,0.5532332062721252,0.001
2,0.5901474527296897,0.5373371839523315,0.001
3,0.5197741899998249,0.4413371682167053,0.001
4,0.21418187366937524,0.13957622647285461,0.001
5,0.11296070927155066,0.11714363843202591,0.001
6,0.09030827519002407,0.10955072939395905,0.001
7,0.07942355447417199,0.08293860405683517,0.001
8,0.07502587667313812,0.06421215087175369,0.001
9,0.07318719373346184,0.05635707452893257,0.001
10,0.0685486301294499,0.0575835257768631,0.001
11,0.06802960762721227,0.051956940442323685,0.001
12,0.06600952149448433,0.04972582682967186,0.001
13,0.06345847347091625,0.05224611982703209,0.001
14,0.06349504012184842,0.05131184682250023,0.001
15,0.06158212186159563,0.06488119065761566,0.001
16,0.06057091630499916,0.0492854043841362,0.001
17,0.059540620243007485,0.05359746888279915,0.001
18,0.059923411355817656,0.05268070474267006,0.001
19,0.05968089854620205,0.04867761209607124,0.001
20,0.058557741217608365,0.0628335103392601,0.001
21,0.055516744318090915,0.06546062231063843,0.001
22,0.05657150267321349,0.055319901555776596,0.001
23,0.05599873602956412,0.04852268844842911,0.001
24,0.05581827699794375,0.07362376153469086,0.001
25,0.054107095677218574,0.0658172145485878,0.001
26,0.05479466993983435,0.0589117556810379,0.001
27,0.05285401018576512,0.052468106150627136,0.001
28,0.0532845024883828,0.06585752218961716,0.001
29,0.0521911045832097,0.06718701124191284,0.001
30,0.050628269326290574,0.06936078518629074,0.001
31,0.04963732440545245,0.060672882944345474,0.001
32,0.04985196825263458,0.0526774600148201,0.001
33,0.04981049745668388,0.06250247359275818,0.001
