epoch,train_loss,val_loss,lr
1,0.6106063727607882,0.5111204981803894,0.001
2,0.5744049130980649,0.49153342843055725,0.001
3,0.45949203333990546,0.4545842707157135,0.001
4,0.353716457715028,0.33088260889053345,0.001
5,0.2324139857146601,0.18028654158115387,0.001
6,0.1423071462918816,0.13990643620491028,0.001
7,0.12368496585248122,0.15656404197216034,0.001
8,0.10237045660918248,0.1313028186559677,0.001
9,0.09993284715281413,0.11381807923316956,0.001
10,0.09838421804529679,0.12587077915668488,0.001
11,0.09622059093239835,0.1129128485918045,0.001
12,0.09108770245451131,0.1153809130191803,0.001
13,0.08883923618691586,0.11080373078584671,0.001
14,0.08852592247109886,0.09796728938817978,0.001
15,0.08584978085723952,0.06820398569107056,0.001
16,0.08428715152243908,0.06554192304611206,0.001
17,0.08262285695308907,0.0700586661696434,0.001
18,0.08278010637983377,0.06837044656276703,0.001
19,0.08140112157390432,0.06769007444381714,0.001
20,0.07938317985879194,0.0711800754070282,0.001
21,0.08079505813898193,0.07848992943763733,0.001
22,0.0784167146444159,0.07130873948335648,0.001
23,0.07896910697787879,0.07843584567308426,0.001
24,0.08171347872413483,0.07775697112083435,0.001
25,0.07873692134018669,0.06357511878013611,0.001
26,0.0770423450536288,0.06793226301670074,0.001
27,0.07537769909387042,0.06348586082458496,0.001
28,0.0742683502538395,0.07905197143554688,0.001
29,0.07512622530821059,0.06452035903930664,0.001
30,0.07381104588953417,0.06419368833303452,0.001
31,0.07529246024635786,0.058469586074352264,0.001
32,0.07409988934100888,0.05630623921751976,0.001
33,0.07363264767132104,0.05341925844550133,0.001
34,0.07129167654176256,0.05536080151796341,0.001
35,0.07008528002769038,0.05719205364584923,0.001
36,0.06947718405011874,0.07341098040342331,0.001
37,0.06878723819794454,0.053116533905267715,0.001
38,0.0694050507536575,0.05936148390173912,0.001
39,0.06927463578077961,0.06656107306480408,0.001
40,0.06975305865909222,0.06271114945411682,0.001
41,0.06959656029535279,0.07348526269197464,0.001
42,0.0710870832245256,0.0578731931746006,0.001
43,0.06750359880552201,0.0648532286286354,0.001
44,0.0668469421575642,0.06567924469709396,0.001
45,0.06661856158799523,0.06879827380180359,0.001
46,0.06604697723118551,0.06756269186735153,0.001
47,0.06538808234591982,0.06760764867067337,0.001
