epoch,train_loss,val_loss,lr
1,0.7377238427686885,0.41034233570098877,0.001
2,0.37437825355795057,0.29580387473106384,0.001
3,0.2689373739255817,0.21904338896274567,0.001
4,0.2326782794424119,0.2154516875743866,0.001
5,0.21232903788177096,0.22690430283546448,0.001
6,0.1957779601115223,0.23846867680549622,0.001
7,0.18315424471891395,0.1941012740135193,0.001
8,0.17948454782225223,0.21503011882305145,0.001
9,0.17422723385986835,0.257588654756546,0.001
10,0.1664962567581089,0.26188063621520996,0.001
11,0.16415958765646496,0.2577565908432007,0.001
12,0.1627712812037125,0.21956150233745575,0.001
13,0.15617148270843148,0.23327754437923431,0.001
14,0.15548616445533617,0.20996125042438507,0.001
15,0.14807834064782555,0.20465786755084991,0.001
16,0.15204651704313313,0.21887609362602234,0.001
17,0.14898119502911897,0.22217586636543274,0.001
18,0.14477894870688182,0.2153843492269516,0.001
19,0.14296376780989697,0.1919795274734497,0.001
20,0.1418231288969436,0.23007246851921082,0.001
21,0.13881648985954606,0.2437662035226822,0.001
22,0.1390762748436818,0.2226046770811081,0.001
23,0.13769727187127562,0.23923972249031067,0.001
24,0.1375791730316232,0.23624677956104279,0.001
25,0.13620041775816655,0.23127354681491852,0.001
26,0.13373301686716532,0.2622566819190979,0.001
27,0.13395256655267976,0.2436314970254898,0.001
28,0.13362533937801013,0.2657562494277954,0.001
29,0.13035043346186345,0.22702398896217346,0.001
