epoch,train_loss,val_loss,lr
1,0.6181797137739216,0.5554476976394653,0.001
2,0.6125398887222787,0.5381489396095276,0.001
3,0.6039496648101341,0.5102779269218445,0.001
4,0.5927379602007821,0.5287987589836121,0.001
5,0.5877422598194396,0.5161904096603394,0.001
6,0.5781098837930118,0.5222025513648987,0.001
7,0.5640833782211573,0.4804796278476715,0.001
8,0.531328602917644,0.3682798445224762,0.001
9,0.48446694392523904,0.3550955355167389,0.001
10,0.44265028450188193,0.4342120587825775,0.001
11,0.4224810276377638,0.4408053159713745,0.001
12,0.4056877034894485,0.3706344962120056,0.001
13,0.39101213981047417,0.4087117612361908,0.001
14,0.38072521008015325,0.3829896152019501,0.001
15,0.37032254373849327,0.42306408286094666,0.001
16,0.35723210711492126,0.4555501341819763,0.001
17,0.3426614721157819,0.3432711362838745,0.001
18,0.3319517932478414,0.3908728361129761,0.001
19,0.30154752181375366,0.3795073330402374,0.001
20,0.28248802547215446,0.40303662419319153,0.001
21,0.24228019508933762,0.37097910046577454,0.001
22,0.21914056157806996,0.36128413677215576,0.001
23,0.18607600255688625,0.29482388496398926,0.001
24,0.1558194822420744,0.3739802837371826,0.001
25,0.12631482442934444,0.258858859539032,0.001
26,0.11497755841007064,0.32643312215805054,0.001
27,0.1137259859323825,0.37200698256492615,0.001
28,0.12284890368196663,0.3016076385974884,0.001
29,0.1105094505334968,0.27572500705718994,0.001
30,0.09802828017455428,0.26042211055755615,0.001
31,0.09160250989439692,0.3285718858242035,0.001
32,0.08958848243329062,0.31477266550064087,0.001
33,0.09445595412718555,0.34090444445610046,0.001
34,0.08930932970027587,0.3779451847076416,0.001
35,0.09616643578582412,0.17834049463272095,0.001
36,0.09633010518680273,0.22231939435005188,0.001
37,0.09143106339137945,0.3678572475910187,0.001
38,0.08876004570455694,0.2841852903366089,0.001
39,0.08037653220678444,0.3475259840488434,0.001
40,0.08063861276838155,0.2915594279766083,0.001
41,0.0795879940751288,0.24231694638729095,0.001
42,0.07793855075718105,0.24850262701511383,0.001
43,0.07795617836584391,0.1724695861339569,0.001
44,0.07887681913303067,0.1955288201570511,0.001
45,0.07846745643436182,0.25183120369911194,0.001
46,0.08258724456281481,0.29298245906829834,0.001
47,0.07833197204398656,0.24367360770702362,0.001
48,0.07553111576807547,0.2900938093662262,0.001
49,0.07743171145545578,0.27207186818122864,0.001
50,0.0718328729069702,0.2907167971134186,0.001
